"scenario","n_per_arm","design_wr","buysetest_wr","buysetest_p","buysetest_reject","disjoint_wins","disjoint_losses","disjoint_neutral","disjoint_wr","adaptive_reject","adaptive_crossing","adaptive_final_evalue","fixed_reject","fixed_crossing","fixed_final_evalue","sim"
"composite_alt",250,1.3,1.41080038572806,0.000292379909032414,TRUE,147,103,0,1.42718446601942,FALSE,NA,8.22191343311652,TRUE,241,37.6021520049232,130
"composite_alt",250,1.3,1.49491038281905,3.33754879728865e-05,TRUE,147,103,0,1.42718446601942,FALSE,NA,2.30396500161383,TRUE,115,37.6021520049232,131
"composite_alt",250,1.3,1.56021628707193,6.03748317895558e-06,TRUE,150,100,0,1.5,TRUE,108,9.07582593752842,TRUE,102,82.6119279548164,132
"composite_alt",250,1.3,1.65821708063967,3.16690413226794e-07,TRUE,166,84,0,1.97619047619048,TRUE,42,1885.70737152881,TRUE,42,5497.13489777791,133
"composite_alt",250,1.3,1.07331232376845,0.235504577570134,FALSE,122,128,0,0.953125,FALSE,NA,0.211366117612213,FALSE,NA,0.0532879352612743,134
"composite_alt",250,1.3,1.11112987671002,0.144950576204525,FALSE,136,114,0,1.19298245614035,FALSE,NA,0.827721581906057,FALSE,NA,2.09814657940414,135
"composite_alt",250,1.3,1.38413122258249,0.000521720498444567,TRUE,145,105,0,1.38095238095238,FALSE,NA,8.05851114766298,TRUE,196,22.2497940857534,136
"composite_alt",250,1.3,1.43550775465669,0.00015406855625788,TRUE,141,109,0,1.29357798165138,FALSE,NA,1.29876214671024,FALSE,NA,7.79027137906703,137
"composite_alt",250,1.3,1.25217109293359,0.0127730795559386,TRUE,140,110,0,1.27272727272727,FALSE,NA,0.731148987741035,FALSE,NA,5.99251644543618,138
"composite_alt",250,1.3,1.3088289619505,0.00364673875947563,TRUE,147,103,0,1.42718446601942,TRUE,47,2.00315116740484,TRUE,140,37.6021520049232,139
"composite_alt",250,1.3,1.22048530926919,0.0221058629394544,TRUE,142,108,0,1.31481481481481,FALSE,NA,1.82769431594204,TRUE,181,10.1273527927871,140
"composite_alt",250,1.3,1.39748360121217,0.00039255895207746,TRUE,151,99,0,1.52525252525253,TRUE,205,78.7176266694361,TRUE,192,107.395506341261,141
"composite_alt",250,1.3,1.40061455732668,0.000314956724172366,TRUE,152,98,0,1.55102040816327,TRUE,122,13.9250997045201,TRUE,96,139.61415824364,142
"composite_alt",250,1.3,1.36670705846713,0.000826733603910723,TRUE,133,117,0,1.13675213675214,FALSE,NA,0.562865449513517,FALSE,NA,0.955005270552637,143
"composite_alt",250,1.3,1.52433458540329,1.6816349121318e-05,TRUE,147,103,0,1.42718446601942,FALSE,NA,6.95607419454821,TRUE,213,37.6021520049232,144
"composite_alt",250,1.3,1.38795705498032,0.000533088348646404,TRUE,142,108,0,1.31481481481481,FALSE,NA,3.03480469500697,FALSE,NA,10.1273527927871,145
"composite_alt",250,1.3,1.42869355716173,0.000194052705768,TRUE,157,93,0,1.68817204301075,TRUE,105,581.39648483465,TRUE,104,518.377596567558,146
"composite_alt",250,1.3,1.2201697985862,0.0214054241602657,TRUE,148,102,0,1.45098039215686,TRUE,87,1.69994041698158,TRUE,83,48.8827976064002,147
"composite_alt",250,1.3,1.14680726823069,0.0840938403916051,FALSE,138,112,0,1.23214285714286,FALSE,NA,0.330696847998958,FALSE,NA,3.54586771919301,148
"composite_alt",250,1.3,1.26408259373302,0.0092949409101738,TRUE,137,113,0,1.21238938053097,FALSE,NA,1.03008307692753,FALSE,NA,2.72759055322538,149
"composite_alt",250,1.3,1.25591048547194,0.0106561874667983,TRUE,140,110,0,1.27272727272727,FALSE,NA,1.81316296891849,FALSE,NA,5.99251644543618,150
"composite_alt",250,1.3,1.12195287567054,0.125212248222401,FALSE,132,118,0,1.11864406779661,FALSE,NA,0.275408374890169,FALSE,NA,0.734619438886644,151
"composite_alt",250,1.3,1.08653268344795,0.200783083685825,FALSE,132,118,0,1.11864406779661,FALSE,NA,0.43121525253281,FALSE,NA,0.734619438886645,152
"composite_alt",250,1.3,1.34407230994262,0.00170705957478112,TRUE,147,103,0,1.42718446601942,FALSE,NA,11.7616702804098,TRUE,185,37.6021520049232,153
"composite_alt",250,1.3,1.32134898232061,0.00260059747038321,TRUE,150,100,0,1.5,TRUE,220,26.204589652336,TRUE,179,82.6119279548164,154
"composite_alt",250,1.3,1.07537771874481,0.229621621542929,FALSE,127,123,0,1.03252032520325,FALSE,NA,0.295250755321463,FALSE,NA,0.197854373469643,155
"composite_alt",250,1.3,1.24771632021866,0.0133146890657864,TRUE,149,101,0,1.47524752475248,TRUE,192,28.4332362893871,TRUE,183,63.5476368883202,156
"composite_alt",250,1.3,1.32272929983648,0.00240699507350051,TRUE,139,111,0,1.25225225225225,FALSE,NA,1.60941640614,FALSE,NA,4.6096280349509,157
"composite_alt",250,1.3,1.39785152503357,0.00041499659469646,TRUE,141,109,0,1.29357798165138,FALSE,NA,2.36362907827136,FALSE,NA,7.79027137906703,158
"composite_alt",250,1.3,1.35201144018365,0.00132104008718525,TRUE,139,111,0,1.25225225225225,FALSE,NA,1.49562853594068,FALSE,NA,4.6096280349509,159
"composite_alt",250,1.3,1.32913467988373,0.00207599521088009,TRUE,151,99,0,1.52525252525253,TRUE,147,62.0267629762681,TRUE,145,107.395506341261,160
"composite_alt",250,1.3,1.48855265777424,4.02896100427652e-05,TRUE,149,101,0,1.47524752475248,TRUE,66,2.18960425623507,TRUE,63,63.5476368883202,161
"composite_alt",250,1.3,1.36634862941087,0.000876063704319141,TRUE,136,114,0,1.19298245614035,FALSE,NA,0.323129814736277,FALSE,NA,2.09814657940414,162
"composite_alt",250,1.3,1.35431498851094,0.0011256407338498,TRUE,148,102,0,1.45098039215686,TRUE,87,21.969975900586,TRUE,91,48.8827976064001,163
"composite_alt",250,1.3,1.40329154810428,0.000356620859256251,TRUE,143,107,0,1.33644859813084,FALSE,NA,2.46026189492692,FALSE,NA,13.1655586306233,164
"composite_alt",250,1.3,1.18416914205836,0.0441145108847587,TRUE,137,113,0,1.21238938053097,FALSE,NA,1.03299253354719,FALSE,NA,2.72759055322539,165
"composite_alt",250,1.3,1.18409281520828,0.0451995031759074,TRUE,135,115,0,1.17391304347826,FALSE,NA,0.328342051876324,FALSE,NA,1.61395890723396,166
"composite_alt",250,1.3,1.39904805773069,0.000356921924172249,TRUE,145,105,0,1.38095238095238,FALSE,NA,6.33853664880427,TRUE,226,22.2497940857533,167
"composite_alt",250,1.3,1.35502468065865,0.00115931575817141,TRUE,150,100,0,1.5,FALSE,NA,17.3005022082312,TRUE,175,82.6119279548163,168
"composite_alt",250,1.3,1.42859918399067,0.000164849097764264,TRUE,140,110,0,1.27272727272727,FALSE,NA,1.52856519734391,FALSE,NA,5.99251644543618,169
"composite_alt",250,1.3,1.12094475363106,0.124111441186732,FALSE,124,126,0,0.984126984126984,FALSE,NA,0.332506460873394,FALSE,NA,0.0900566105915536,170
"composite_alt",250,1.3,1.39408565080824,0.0003740858334641,TRUE,144,106,0,1.35849056603774,TRUE,113,3.70729847881915,TRUE,113,17.1152262198103,171
"composite_alt",250,1.3,1.4710394180208,5.17366708167044e-05,TRUE,147,103,0,1.42718446601942,FALSE,NA,16.0856250174157,TRUE,241,37.6021520049232,172
"composite_alt",250,1.3,1.39592118377674,0.000435778870038428,TRUE,138,112,0,1.23214285714286,FALSE,NA,0.939897520530999,FALSE,NA,3.545867719193,173
"composite_alt",250,1.3,1.26720354046505,0.00814485402969933,TRUE,143,107,0,1.33644859813084,FALSE,NA,2.74871797484978,FALSE,NA,13.1655586306233,174
"composite_alt",250,1.3,1.41527224948796,0.000241492206309091,TRUE,150,100,0,1.5,TRUE,238,36.5407576403476,TRUE,228,82.6119279548163,175
"composite_alt",250,1.3,1.24303761125467,0.0140458484654451,TRUE,146,104,0,1.40384615384615,TRUE,194,9.72967849796688,TRUE,149,28.9247323114793,176
"composite_alt",250,1.3,1.1264289602613,0.113459840743776,FALSE,133,117,0,1.13675213675214,FALSE,NA,0.153571648027262,FALSE,NA,0.955005270552635,177
"composite_alt",250,1.3,1.37443963224679,0.000686053081211502,TRUE,144,106,0,1.35849056603774,FALSE,NA,3.22540009172157,TRUE,245,17.1152262198103,178
"composite_alt",250,1.3,1.44169238582646,0.00012970477234564,TRUE,147,103,0,1.42718446601942,FALSE,NA,14.2413640465942,TRUE,179,37.6021520049232,179
"composite_alt",250,1.3,1.26211589272142,0.0090151126336937,TRUE,144,106,0,1.35849056603774,FALSE,NA,1.22155851977249,FALSE,NA,17.1152262198103,180
"composite_alt",250,1.3,1.37615481123826,0.000725836133160018,TRUE,144,106,0,1.35849056603774,FALSE,NA,3.76610329850868,TRUE,168,17.1152262198103,181
"composite_alt",250,1.3,1.52780586450961,9.97374092948089e-06,TRUE,153,97,0,1.57731958762887,TRUE,170,135.316192062251,TRUE,140,181.498405716731,182
"composite_alt",250,1.3,1.15450377469061,0.0745815594677828,FALSE,135,115,0,1.17391304347826,FALSE,NA,0.726250231969003,FALSE,NA,1.61395890723395,183
"composite_alt",250,1.3,1.52555865357417,1.05780683843371e-05,TRUE,147,103,0,1.42718446601942,TRUE,88,7.58349757852139,TRUE,89,37.6021520049232,184
"composite_alt",250,1.3,1.22419928825623,0.0201012384145685,TRUE,141,109,0,1.29357798165138,FALSE,NA,1.82465354950254,FALSE,NA,7.79027137906703,185
"composite_alt",250,1.3,1.05133254562164,0.305451634640266,FALSE,130,120,0,1.08333333333333,FALSE,NA,0.379874703731052,FALSE,NA,0.434686058512807,186
