"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.3,0,0.232229108033415,293,586,1,10,1,0.1,0.0670820393249937,132.5,0.212120493855797,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,30,1,0,0,NA,0.761775960262589,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,1,30,1,0.05,0.0487339717240448,64,0.3633415198711,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,0,20,0,0,NA,0.48167839769642,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,1,0,20,0,0,NA,0.16238861574975,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,10,20,0,0,NA,0.625451719556701,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,1,10,20,0,0,NA,0.202270632641693,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,30,20,0,0,NA,0.721202956474608,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,1,30,20,0.05,0.0487339717240448,100,0.368902761073668,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,0,50,0,0,NA,0.60999905343053,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,1,0,50,0,0,NA,0.262668316776747,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,10,50,0,0,NA,0.686098686598377,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,1,10,50,0.1,0.0670820393249937,192.5,0.300743422837412,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,30,50,0,0,NA,0.718256149578018,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,1,30,50,0.1,0.0670820393249937,228.5,0.402488976514615,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,0,1,0.25,0.0968245836551854,99,2.02672332185433,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,0,1,0.05,0.0487339717240448,6,0.00103881030171131,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,10,1,0.3,0.102469507659596,213.5,1.83478477540232,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,10,1,0.25,0.0968245836551854,102,1.66302363496201,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,30,1,0.15,0.0798435971133566,162,4.32261389538398,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,30,1,0.25,0.0968245836551854,275,5.55028411729125,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,0,20,0.05,0.0487339717240448,138,2.72625656939637,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,0,20,0.3,0.102469507659596,190,1.66992651094532,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,10,20,0.25,0.0968245836551854,185,4.52371145197078,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,10,20,0.5,0.111803398874989,162.5,5.21172957945948,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,30,20,0.25,0.0968245836551854,225,4.2072849339012,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,30,20,0.45,0.111242977306435,178,2.49591469055353,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,0,50,0.2,0.0894427190999916,230.5,3.00475367588134,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,0,50,0.2,0.0894427190999916,135.5,1.96755493493138,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,10,50,0.25,0.0968245836551854,170,1.6421624509127,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,10,50,0.35,0.106653645038508,165,2.46035158087618,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,0.5,30,50,0.25,0.0968245836551854,246,6.95770794881419,0.8,0.05,20
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,30,50,0.35,0.106653645038508,219,6.18669824899689,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,0,1,0,0,NA,0.67632140492784,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,0,1,0.05,0.0487339717240448,6,0.000215917544981838,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,10,1,0,0,NA,0.696740664708338,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,10,1,0.1,0.0670820393249937,32.5,0.27981471208008,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,30,1,0,0,NA,0.791608421751816,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,30,1,0.05,0.0487339717240448,101,0.412326570287255,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,0,20,0,0,NA,0.651334087866906,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,0,20,0.05,0.0487339717240448,42,0.232797952808686,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,10,20,0,0,NA,0.706420473655593,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,10,20,0.05,0.0487339717240448,98,0.413624662585988,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,30,20,0,0,NA,0.91875860974896,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,30,20,0,0,NA,0.527376040626372,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,0,50,0,0,NA,0.66407122035955,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,0,50,0,0,NA,0.401372000539426,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,10,50,0,0,NA,0.727742892203249,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,10,50,0,0,NA,0.472297539033895,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,0.5,30,50,0,0,NA,0.804978662508595,0.8,0.05,20
"null",1,1.5,0,0.358286909242583,124,248,1,30,50,0,0,NA,0.656598074107127,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,0,1,0.3,0.102469507659596,52.5,2.75610372689133,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,0,1,0,0,NA,0.00259397205581387,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,10,1,0.2,0.0894427190999916,103,2.61278018426655,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,10,1,0.45,0.111242977306435,84,6.24008944330538,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,30,1,0.15,0.0798435971133566,85,5.53420533765779,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,30,1,0.2,0.0894427190999916,87,2.94576401834382,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,0,20,0.05,0.0487339717240448,96,1.47642453680144,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,0,20,0.5,0.111803398874989,49.5,6.0980691431933,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,10,20,0.2,0.0894427190999916,88.5,3.50661681735696,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,10,20,0.35,0.106653645038508,63,1.59801286303359,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,30,20,0.15,0.0798435971133566,84,3.33537998999716,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,30,20,0.3,0.102469507659596,81.5,1.24958849673876,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,0,50,0,0,NA,3.56527240065077,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,0,50,0.3,0.102469507659596,66,2.01520588774203,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,10,50,0.1,0.0670820393249937,116.5,2.88674536343008,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,10,50,0.35,0.106653645038508,82,3.67274808646978,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,0.5,30,50,0,0,NA,2.11314130233774,0.8,0.05,20
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,124,248,1,30,50,0.2,0.0894427190999916,95,3.43824065615273,0.8,0.05,20
