"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.3,0,0.232229108033415,293,586,1,20,20,0,0,NA,0.303707429199933,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,30,20,0,0,NA,0.271496631400141,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,0,35,0,0,NA,0.214539040260975,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,10,35,0,0,NA,0.94007718359651,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,20,35,0,0,NA,0.189856998783216,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,30,35,0,0,NA,0.35736769645647,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,0,50,0,0,NA,0.24293415695792,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,10,50,0,0,NA,0.697579378484767,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,20,50,0,0,NA,0.671908621068971,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,30,50,0,0,NA,0.350421933138187,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,0,75,0,0,NA,0.37164289337653,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,10,75,0,0,NA,0.250004782037129,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,20,75,0,0,NA,0.444686436229759,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,30,75,0,0,NA,0.481156402334759,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,0,100,0,0,NA,0.293860665498814,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,10,100,0,0,NA,0.803546818706955,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,20,100,0,0,NA,0.883576608538745,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,30,100,0,0,NA,0.888009261674504,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,0,20,0,0,NA,2.72653908958013,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,10,20,0,0,NA,2.91632697781931,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,20,20,0.5,0.353553390593274,163,18.9120860877997,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,30,20,0.5,0.353553390593274,234,5.83841584542682,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,0,35,1,0,119,14.8463990376438,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,10,35,0.5,0.353553390593274,105,4.57661140105256,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,20,35,0,0,NA,1.61318635046255,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,30,35,0,0,NA,8.17680757081031,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,0,50,1,0,189.5,17.5731327006555,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,10,50,0.5,0.353553390593274,235,85.8316383355768,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,20,50,0,0,NA,2.71447587453258,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,30,50,0.5,0.353553390593274,112,18.2341273465037,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,0,75,1,0,261.5,43.1097012421834,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,10,75,0.5,0.353553390593274,282,10.7741393289974,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,20,75,0.5,0.353553390593274,226,7.26967851765164,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,30,75,0.5,0.353553390593274,274,39.6086168941375,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,0,100,1,0,222.5,10.8682313694815,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,10,100,0.5,0.353553390593274,290,9.4297311640343,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,20,100,0,0,NA,0.883769878609713,0.8,0.05,2
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,293,586,1,30,100,0.5,0.353553390593274,190,22.6049536869617,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,0,20,0,0,NA,0.357171126579896,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,10,20,0,0,NA,0.2760947224822,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,20,20,0,0,NA,0.600736439103472,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,30,20,0,0,NA,0.177477721121276,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,0,35,0,0,NA,4.08192993408701,0.8,0.05,2
"null",1,1.5,0,0.358286909242583,124,248,1,10,35,0,0,NA,0.360973340436596,0.8,0.05,2
