"sim","true_hr","method","n_patients","n_events_available","crossed","crossing_event","final_evalue","log_final_evalue","final_log_hr","final_hr"
978,1,"Simultaneous entry, time-on-study order",631,628,FALSE,NA,0.00155659498492015,-6.46525454526086,-0.0366321620657121,0.964030677190975
978,1,"Staggered entry, time-on-study order",631,628,FALSE,NA,0.00155659498492015,-6.46525454526086,-0.0366321620657121,0.964030677190975
978,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,0.00137961567523688,-6.58595031480545,-0.0370012446004004,0.963674935958096
979,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.00144447078270868,-6.54001226484013,-0.0280810495481342,0.972309558357244
979,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.00144447078270868,-6.54001226484013,-0.0280810495481342,0.972309558357244
979,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.000923797508264044,-6.98701765723917,-0.0198344216868409,0.980360986387034
980,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,2.35753565143548,0.85761685797125,0.157313390097938,1.17036233640154
980,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,2.35753565143548,0.85761685797125,0.157313390097938,1.17036233640154
980,1,"Staggered entry, calendar-event order",631,627,FALSE,NA,0.260524761620805,-1.34505736809953,0.160887306782877,1.17455259724446
981,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.00930884980078332,-4.676789739817,-0.0848194260707287,0.918678158749576
981,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.00930884980078332,-4.676789739817,-0.0848194260707287,0.918678158749576
981,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0179482263266775,-4.02026398081432,-0.0842618542037699,0.919190530674496
982,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.510498703378707,-0.672367181285232,-0.126612699026061,0.88107484767079
982,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.510498703378707,-0.672367181285232,-0.126612699026061,0.88107484767079
982,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.713675200900207,-0.337327320841255,-0.126024485522415,0.881593260247604
983,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.000795046349355654,-7.13711014393309,-0.0450457456931389,0.955953750065932
