"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","design_method","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,50,0.339,0.0149692685192029,1101,1.42660701175928,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,75,0.303,0.0145324120503102,1123,1.1096357729428,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,75,0.297,0.0144496020706454,1145,1.23383742846446,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,20,75,0.325,0.0148113132435986,1111,1.26720916136142,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,75,0.349,0.0150731217735411,1057,1.52821736025713,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,100,0.308,0.0145991780590552,1065.5,1.29934505466884,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,100,0.312,0.0146511433000978,1178.5,1.38971282615282,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,20,100,0.341,0.0149906304070243,1173,1.63712936197214,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,100,0.329,0.0148579608291313,1127,1.51254630061919,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,20,0.04,0.00619677335393187,58.5,0.100353387919032,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,20,0.038,0.00604615580348373,84.5,0.162873745207565,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,20,0.039,0.00612200947402076,141,0.206037794946975,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,20,0.026,0.00503229569878401,159,0.238917592118304,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,35,0.022,0.00463853425124791,150.5,0.142178277451307,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,35,0.021,0.00453420334788814,116,0.189630004206585,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,35,0.037,0.00596917079668525,152,0.231868341399816,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,35,0.02,0.00442718872423573,224,0.260750827711272,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,50,0.037,0.00596917079668525,106,0.17249081981855,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,50,0.027,0.00512552436341883,139,0.216270527067218,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,50,0.038,0.00604615580348373,143.5,0.252335397899178,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,50,0.023,0.00474035863622153,235,0.288966682846983,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,75,0.035,0.00581162627841812,161,0.217651981775762,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,75,0.022,0.00463853425124791,180,0.244802597698405,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,75,0.022,0.00463853425124791,205,0.279210819155392,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,75,0.021,0.00453420334788814,237,0.309086450911006,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,100,0.029,0.00530650544143695,230,0.243927032952219,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,100,0.034,0.00573096850453743,211,0.282244894223769,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,100,0.028,0.0052168956286282,283,0.306024862775346,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,100,0.026,0.00503229569878401,209.5,0.336520439098483,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,20,0.295,0.0144213383567546,295,0.98315446772057,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,20,0.322,0.0147755202954075,258.5,1.44670576556526,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,20,0.329,0.0148579608291313,305,1.53874506731218,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,20,0.348,0.0150630674166984,323,2.12675718350772,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,35,0.324,0.014799459449588,267,1.29152972815077,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,35,0.319,0.0147390298188178,285,1.45747171577062,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,35,0.302,0.0145188153786733,327,1.59560806906894,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,35,0.362,0.0151972365909069,343,2.14296818337912,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,50,0.318,0.0147267104269759,340,1.50117233783955,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,50,0.346,0.0150427391122761,307,1.80701819986004,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,50,0.338,0.0149584758581882,347,2.06199059923423,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,50,0.391,0.0154311049507156,347,2.4387282627376,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,75,0.336,0.0149366662947259,313.5,1.64107643810631,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,75,0.371,0.0152760924322943,317,2.16061190558313,0.8,0.05,1000
