"scenario_type","true_wr","design_wr","wager_wr","wager_lambda","true_d","design_d","policy","wager_misspecification","n_pairs","n_patients","design_method","rejection_rate","se","median_crossing","median_final_evalue","median_seq_wr_crossing","median_seq_wr_final","median_all_pairs_wr_crossing","median_all_pairs_wr_final","median_wr_exaggeration_vs_true","wr_exaggeration_vs_true_q25","wr_exaggeration_vs_true_q75","wr_exaggeration_vs_true_q90","median_wr_exaggeration_vs_final","target_power","alpha","n_sims"
"alternative",1.1,1.1,1.1,0.0476190476190477,0.0844527324219911,0.0844527324219911,"fixed_matched","matched",2305,4610,"Yu-Ganju WR",0.55,0.111242977306435,1487,16.8865757604446,1.14265129682997,1.10406601684168,1.11811998888814,1.09900046733726,1.01647271717104,1.00489987130874,1.04547722987591,1.05438029761751,1.0068152230553,0.8,0.05,20
"alternative",1.1,1.1,1.2,0.090909090909091,0.0844527324219911,0.0844527324219911,"fixed_over","overestimated",2305,4610,"Yu-Ganju WR",0.6,0.109544511501033,1075.5,1.20904772368759,1.16616430020284,1.09736123748863,1.13607069015964,1.09934988435003,1.03279153650877,1.004589142416,1.06034609277169,1.08583622798781,1.03079971157774,0.8,0.05,20
"alternative",1.2,1.2,NA,NA,0.161482391852927,0.161482391852927,"adaptive_full_kelly","adaptive",630,1260,"Yu-Ganju WR",0.3,0.102469507659596,229,2.79869584095325,1.50370959194489,1.21833736284173,1.44340962728864,1.18992610057296,1.20284135607387,1.12367843102021,1.25704899683896,1.31901345287415,1.14879688043299,0.8,0.05,20
"alternative",1.2,1.2,1.1,0.0476190476190477,0.161482391852927,0.161482391852927,"fixed_under","underestimated",630,1260,"Yu-Ganju WR",0.2,0.0894427190999916,482,8.9620479786919,1.36860599913056,1.2144180874722,1.286915294317,1.19369148128196,1.07242941193083,1.04011080204328,1.10919215141046,1.12443072749016,0.995337929623595,0.8,0.05,20
"alternative",1.2,1.2,1.2,0.0909090909090909,0.161482391852927,0.161482391852927,"fixed_matched","matched",630,1260,"Yu-Ganju WR",0.75,0.0968245836551854,433,27.5355283429998,1.27894736842105,1.23009548154274,1.30420907757226,1.23437049056412,1.08684089797688,1.05216230162777,1.11234505483319,1.18108422104932,1.03341642401664,0.8,0.05,20
"alternative",1.2,1.2,1.4,0.166666666666667,0.161482391852927,0.161482391852927,"fixed_over","overestimated",630,1260,"Yu-Ganju WR",0.65,0.106653645038508,245,3.5819620368875,1.37864077669903,1.21055353097607,1.30409543590563,1.19775271656252,1.08674619658802,1.02452244588092,1.15869853917663,1.31829334332311,1.05068975367857,0.8,0.05,20
"alternative",1.3,1.3,NA,NA,0.232229108033415,0.232229108033415,"adaptive_full_kelly","adaptive",305,610,"Yu-Ganju WR",0.25,0.0968245836551854,191,1.19978188760436,1.61627906976744,1.24264705882353,1.476788585209,1.30257517692897,1.13599121939154,1.1177549610501,1.15789473684211,1.17217123999086,1.01285001025089,0.8,0.05,20
"alternative",1.3,1.3,1.15,0.0697674418604651,0.232229108033415,0.232229108033415,"fixed_under","underestimated",305,610,"Yu-Ganju WR",0.4,0.109544511501033,209.5,11.8562931656643,1.64365971107544,1.35524746571258,1.5015740682193,1.37088132155577,1.15505697555331,1.11746098091762,1.22509584692377,1.28757076354645,1.0192156966012,0.8,0.05,20
"alternative",1.3,1.3,1.3,0.130434782608696,0.232229108033415,0.232229108033415,"fixed_matched","matched",305,610,"Yu-Ganju WR",0.45,0.111242977306435,153,5.73276532583941,1.55,1.24276831576102,1.47426204720268,1.25124560434577,1.13404772861745,1.05226811243159,1.28111376740262,1.37272102273725,1.06012390332731,0.8,0.05,20
"alternative",1.3,1.3,1.6,0.230769230769231,0.232229108033415,0.232229108033415,"fixed_over","overestimated",305,610,"Yu-Ganju WR",0.6,0.109544511501033,80.5,0.886491545186764,1.78245192307692,1.25925925925926,1.72653930961901,1.2846164930428,1.32810716124539,1.2015349926165,1.60179555650182,1.77425506831101,1.31839977898622,0.8,0.05,20
"alternative",1.5,1.5,NA,NA,0.358286909242583,0.358286909242583,"adaptive_full_kelly","adaptive",128,256,"Yu-Ganju WR",0.3,0.102469507659596,85.5,3.24901893749909,1.98695652173913,1.43831640058055,1.79601075061557,1.5211539269631,1.19734050041038,1.17353105760549,1.30093866746725,1.35852635101721,1.05354111289433,0.8,0.05,20
"alternative",1.5,1.5,1.25,0.111111111111111,0.358286909242583,0.358286909242583,"fixed_under","underestimated",128,256,"Yu-Ganju WR",0.3,0.102469507659596,94.5,12.834180838458,2.04895833333333,1.61224489795918,1.85147805198514,1.52649971197968,1.23431870132343,1.16696770361292,1.29686548479394,1.37465753557274,1.02699255326521,0.8,0.05,20
"alternative",1.5,1.5,1.5,0.2,0.358286909242583,0.358286909242583,"fixed_matched","matched",128,256,"Yu-Ganju WR",0.45,0.111242977306435,68,14.2739865190831,1.95652173913043,1.50980392156863,1.93114647612861,1.48059286122438,1.28743098408574,1.06225462703309,1.3812881993418,1.61391382975941,1.06603579000783,0.8,0.05,20
"alternative",1.5,1.5,2,0.333333333333333,0.358286909242583,0.358286909242583,"fixed_over","overestimated",128,256,"Yu-Ganju WR",0.4,0.109544511501033,71.5,4.36142598762866,1.88709677419355,1.50980392156863,1.84566257621363,1.43280386861932,1.23044171747575,1.1492527833394,1.26746663872004,1.66338622642517,1.13480742273164,0.8,0.05,20
